Absorbance:209,
177.674,-0.72
177.893,-0.59
178.111,-0.56
178.329,-0.63
178.547,-0.54
178.766,-0.18
178.984,-2.12
179.202,-0.55
179.42,0
179.638,0
179.856,0.35
180.075,0.07
180.293,0.07
180.511,0
180.729,0
180.947,0.62
181.165,0.34
181.383,0.29
181.601,0.14
181.819,0.13
182.037,0.13
182.255,0.1
182.473,0.09
182.691,0.12
182.909,0.11
183.127,0.13
183.345,0.13
183.563,0.1
183.781,0.11
183.999,0.11
184.217,0.11
184.435,0.12
184.653,0.18
184.871,0.16
185.089,0.17
185.307,0.19
185.525,0.19
185.742,0.15
185.96,0.19
186.178,0.22
186.396,0.19
186.614,0.19
186.832,0.18
187.049,0.18
187.267,0.15
187.485,0.15
187.703,0.14
187.921,0.15
188.138,0.12
188.356,0.16
188.574,0.18
188.792,0.19
189.009,0.2
189.227,0.22
189.445,0.2
189.662,0.14
189.88,0.14
190.098,0.14
190.315,0.13
190.533,0.12
190.751,0.19
190.968,0.21
191.186,0.18
191.403,0.18
191.621,0.19
191.839,0.19
192.056,0.17
192.274,0.18
192.491,0.19
192.709,0.18
192.926,0.13
193.144,0.16
193.361,0.14
193.579,0.11
193.796,0.14
194.014,0.14
194.231,0.15
194.449,0.2
194.666,0.26
194.883,0.16
195.101,0.15
195.318,0.11
195.536,0.09
195.753,0.08
195.97,0.12
196.188,0.13
196.405,0.2
196.623,0.17
196.84,0.14
197.057,0.1
197.275,0.14
197.492,0.13
197.709,0.18
197.926,0.18
198.144,0.2
198.361,0.15
198.578,0.15
198.795,0.15
199.013,0.19
199.23,0.17
199.447,0.22
199.664,0.2
199.881,0.19
200.099,0.17
200.316,0.17
200.533,0.17
200.75,0.16
200.967,0.19
201.184,0.15
201.401,0.2
201.619,0.18
201.836,0.19
202.053,0.16
202.27,0.16
202.487,0.16
202.704,0.18
202.921,0.19
203.138,0.19
203.355,0.21
203.572,0.21
203.789,0.24
204.006,0.23
204.223,0.26
204.44,0.28
204.657,0.27
204.874,0.25
205.091,0.25
205.308,0.2
205.525,0.17
205.741,0.15
205.958,0.15
206.175,0.17
206.392,0.17
206.609,0.16
206.826,0.18
207.043,0.17
207.259,0.15
207.476,0.18
207.693,0.23
207.91,0.23
208.127,0.22
208.343,0.2
208.56,0.19
208.777,0.17
208.994,0.16
209.21,0.19
209.427,0.21
209.644,0.17
209.861,0.17
210.077,0.16
210.294,0.14
210.511,0.12
210.727,0.13
210.944,0.15
211.161,0.18
211.377,0.16
211.594,0.18
211.81,0.24
212.027,0.22
212.244,0.22
212.46,0.24
212.677,0.25
212.893,0.2
213.11,0.22
213.326,0.21
213.543,0.21
213.759,0.2
213.976,0.21
214.192,0.22
214.409,0.2
214.625,0.23
214.842,0.27
215.058,0.27
215.275,0.22
215.491,0.25
215.707,0.25
215.924,0.18
216.14,0.19
216.357,0.22
216.573,0.22
216.789,0.21
217.006,0.23
217.222,0.18
217.438,0.16
217.655,0.14
217.871,0.11
218.087,0.13
218.304,0.16
218.52,0.15
218.736,0.18
218.952,0.22
219.169,0.22
219.385,0.23
219.601,0.25
219.817,0.21
220.033,0.19
220.25,0.15
220.466,0.15
220.682,0.15
220.898,0.16
221.114,0.16
221.33,0.16
221.546,0.18
221.763,0.19
221.979,0.19
222.195,0.2
222.411,0.22
222.627,0.2
222.843,0.22
223.059,0.23
223.275,0.25
223.491,0.25
223.707,0.24
223.923,0.22
224.139,0.23
224.355,0.19
224.571,0.15
224.787,0.15
225.003,0.15
225.219,0.15
225.435,0.18
225.651,0.17
225.867,0.18
226.083,0.15
226.298,0.14
226.514,0.12
226.73,0.14
226.946,0.13
227.162,0.19
227.378,0.17
227.594,0.18
227.809,0.19
228.025,0.22
228.241,0.21
228.457,0.22
228.672,0.22
228.888,0.23
229.104,0.2
229.32,0.22
229.535,0.22
229.751,0.26
229.967,0.23
230.183,0.24
230.398,0.2
230.614,0.22
230.83,0.18
231.045,0.2
231.261,0.17
231.476,0.2
231.692,0.15
231.908,0.15
232.123,0.17
232.339,0.18
232.554,0.17
232.77,0.18
232.986,0.21
233.201,0.2
233.417,0.24
233.632,0.26
233.848,0.28
234.063,0.27
234.279,0.26
234.494,0.22
234.71,0.22
234.925,0.21
235.14,0.19
235.356,0.19
235.571,0.21
235.787,0.24
236.002,0.28
236.217,0.31
236.433,0.32
236.648,0.36
236.864,0.32
237.079,0.33
237.294,0.3
237.51,0.3
237.725,0.3
237.94,0.31
238.155,0.29
238.371,0.34
238.586,0.32
238.801,0.29
239.016,0.26
239.232,0.26
239.447,0.23
239.662,0.23
239.877,0.26
240.093,0.25
240.308,0.24
240.523,0.28
240.738,0.32
240.953,0.3
241.168,0.33
241.383,0.3
241.599,0.27
241.814,0.25
242.029,0.27
242.244,0.29
242.459,0.33
242.674,0.31
242.889,0.29
243.104,0.25
243.319,0.22
243.534,0.22
243.749,0.22
243.964,0.21
244.179,0.22
244.394,0.21
244.609,0.2
244.824,0.2
245.039,0.2
245.254,0.2
245.469,0.21
245.684,0.25
245.899,0.26
246.113,0.26
246.328,0.28
246.543,0.3
246.758,0.27
246.973,0.25
247.188,0.28
247.402,0.26
247.617,0.27
247.832,0.28
248.047,0.28
248.262,0.28
248.476,0.28
248.691,0.26
248.906,0.27
249.121,0.29
249.335,0.32
249.55,0.34
249.765,0.37
249.979,0.35
250.194,0.36
250.409,0.38
250.623,0.42
250.838,0.42
251.053,0.5
251.267,0.55
251.482,0.58
