Absorbance:209,
177.674,-0.77
177.893,-0.51
178.111,-0.52
178.329,-0.5
178.547,-0.39
178.766,-0.13
178.984,0
179.202,0.63
179.42,0.53
179.638,0
179.856,0
180.075,0.36
180.293,0
180.511,0
180.729,0
180.947,0.4
181.165,0.09
181.383,0.16
181.601,0.1
181.819,0.14
182.037,0.17
182.255,0.17
182.473,0.11
182.691,0.1
182.909,0.07
183.127,0.06
183.345,0.04
183.563,0.1
183.781,0.15
183.999,0.15
184.217,0.14
184.435,0.17
184.653,0.16
184.871,0.14
185.089,0.12
185.307,0.15
185.525,0.17
185.742,0.15
185.96,0.14
186.178,0.15
186.396,0.14
186.614,0.1
186.832,0.13
187.049,0.14
187.267,0.15
187.485,0.18
187.703,0.2
187.921,0.17
188.138,0.18
188.356,0.19
188.574,0.19
188.792,0.2
189.009,0.21
189.227,0.2
189.445,0.19
189.662,0.16
189.88,0.13
190.098,0.13
190.315,0.12
190.533,0.14
190.751,0.17
190.968,0.17
191.186,0.12
191.403,0.16
191.621,0.12
191.839,0.12
192.056,0.12
192.274,0.18
192.491,0.15
192.709,0.18
192.926,0.14
193.144,0.15
193.361,0.14
193.579,0.13
193.796,0.16
194.014,0.12
194.231,0.13
194.449,0.13
194.666,0.19
194.883,0.13
195.101,0.16
195.318,0.13
195.536,0.12
195.753,0.09
195.97,0.15
196.188,0.16
196.405,0.18
196.623,0.15
196.84,0.17
197.057,0.07
197.275,0.09
197.492,0.1
197.709,0.18
197.926,0.13
198.144,0.12
198.361,0.12
198.578,0.12
198.795,0.09
199.013,0.1
199.23,0.14
199.447,0.16
199.664,0.15
199.881,0.13
200.099,0.13
200.316,0.11
200.533,0.11
200.75,0.1
200.967,0.09
201.184,0.06
201.401,0.09
201.619,0.08
201.836,0.13
202.053,0.12
202.27,0.21
202.487,0.25
202.704,0.28
202.921,0.29
203.138,0.33
203.355,0.28
203.572,0.24
203.789,0.26
204.006,0.21
204.223,0.23
204.44,0.28
204.657,0.25
204.874,0.24
205.091,0.25
205.308,0.21
205.525,0.2
205.741,0.2
205.958,0.2
206.175,0.22
206.392,0.22
206.609,0.2
206.826,0.2
207.043,0.16
207.259,0.15
207.476,0.17
207.693,0.19
207.91,0.2
208.127,0.23
208.343,0.22
208.56,0.21
208.777,0.2
208.994,0.19
209.21,0.21
209.427,0.2
209.644,0.18
209.861,0.17
210.077,0.14
210.294,0.15
210.511,0.16
210.727,0.18
210.944,0.18
211.161,0.21
211.377,0.17
211.594,0.17
211.81,0.19
212.027,0.21
212.244,0.22
212.46,0.24
212.677,0.22
212.893,0.19
213.11,0.21
213.326,0.21
213.543,0.22
213.759,0.22
213.976,0.24
214.192,0.23
214.409,0.25
214.625,0.25
214.842,0.26
215.058,0.24
215.275,0.21
215.491,0.19
215.707,0.17
215.924,0.14
216.14,0.16
216.357,0.15
216.573,0.16
216.789,0.16
217.006,0.18
217.222,0.15
217.438,0.16
217.655,0.14
217.871,0.13
218.087,0.16
218.304,0.2
218.52,0.17
218.736,0.2
218.952,0.2
219.169,0.18
219.385,0.19
219.601,0.21
219.817,0.2
220.033,0.22
220.25,0.19
220.466,0.18
220.682,0.19
220.898,0.17
221.114,0.15
221.33,0.15
221.546,0.16
221.763,0.14
221.979,0.16
222.195,0.17
222.411,0.19
222.627,0.17
222.843,0.23
223.059,0.25
223.275,0.26
223.491,0.28
223.707,0.28
223.923,0.23
224.139,0.23
224.355,0.22
224.571,0.21
224.787,0.19
225.003,0.19
225.219,0.16
225.435,0.15
225.651,0.13
225.867,0.21
226.083,0.21
226.298,0.2
226.514,0.2
226.73,0.22
226.946,0.17
227.162,0.18
227.378,0.21
227.594,0.25
227.809,0.23
228.025,0.24
228.241,0.24
228.457,0.23
228.672,0.21
228.888,0.22
229.104,0.22
229.32,0.23
229.535,0.26
229.751,0.25
229.967,0.27
230.183,0.26
230.398,0.23
230.614,0.21
230.83,0.17
231.045,0.18
231.261,0.17
231.476,0.18
231.692,0.14
231.908,0.15
232.123,0.17
232.339,0.18
232.554,0.17
232.77,0.2
232.986,0.22
233.201,0.18
233.417,0.19
233.632,0.22
233.848,0.21
234.063,0.23
234.279,0.25
234.494,0.23
234.71,0.23
234.925,0.24
235.14,0.23
235.356,0.21
235.571,0.22
235.787,0.23
236.002,0.27
236.217,0.26
236.433,0.28
236.648,0.27
236.864,0.26
237.079,0.25
237.294,0.24
237.51,0.25
237.725,0.24
237.94,0.26
238.155,0.23
238.371,0.25
238.586,0.23
238.801,0.25
239.016,0.24
239.232,0.24
239.447,0.26
239.662,0.26
239.877,0.26
240.093,0.25
240.308,0.27
240.523,0.25
240.738,0.28
240.953,0.31
