Absorbance:209,
177.674,-0.6
177.893,-0.39
178.111,-0.41
178.329,-0.49
178.547,-0.4
178.766,-0.23
178.984,0
179.202,1.17
179.42,0.15
179.638,0.32
179.856,-0.05
180.075,-0.09
180.293,-0.13
180.511,0.72
180.729,0.1
180.947,-0.05
181.165,-0.05
181.383,0.11
181.601,0.06
181.819,0.12
182.037,0.1
182.255,0.08
182.473,0.02
182.691,0.04
182.909,0.03
183.127,0.05
183.345,0.07
183.563,0.08
183.781,0.09
183.999,0.07
184.217,0.06
184.435,0.07
184.653,0.08
184.871,0.08
185.089,0.11
185.307,0.13
185.525,0.12
185.742,0.12
185.96,0.15
186.178,0.16
186.396,0.12
186.614,0.12
186.832,0.11
187.049,0.05
187.267,0.03
187.485,0.05
187.703,0.09
187.921,0.08
188.138,0.1
188.356,0.09
188.574,0.1
188.792,0.1
189.009,0.09
189.227,0.12
189.445,0.14
189.662,0.13
189.88,0.12
190.098,0.15
190.315,0.14
190.533,0.16
190.751,0.19
190.968,0.18
191.186,0.16
191.403,0.15
191.621,0.15
191.839,0.14
192.056,0.13
192.274,0.14
192.491,0.14
192.709,0.13
192.926,0.09
193.144,0.07
193.361,0.07
193.579,0.07
193.796,0.09
194.014,0.1
194.231,0.13
194.449,0.2
194.666,0.23
194.883,0.21
195.101,0.19
195.318,0.18
195.536,0.14
195.753,0.12
195.97,0.15
196.188,0.18
196.405,0.18
196.623,0.17
196.84,0.18
197.057,0.1
197.275,0.12
197.492,0.1
197.709,0.14
197.926,0.12
198.144,0.14
198.361,0.12
198.578,0.15
198.795,0.14
199.013,0.13
199.23,0.14
199.447,0.16
199.664,0.16
199.881,0.14
200.099,0.15
200.316,0.14
200.533,0.14
200.75,0.1
200.967,0.12
201.184,0.08
201.401,0.1
201.619,0.09
201.836,0.11
202.053,0.09
202.27,0.12
202.487,0.13
202.704,0.17
202.921,0.21
203.138,0.22
203.355,0.24
203.572,0.2
203.789,0.17
204.006,0.15
204.223,0.16
204.44,0.18
204.657,0.21
204.874,0.17
205.091,0.18
205.308,0.14
205.525,0.1
205.741,0.1
205.958,0.13
206.175,0.1
206.392,0.13
206.609,0.14
206.826,0.13
207.043,0.09
207.259,0.09
207.476,0.09
207.693,0.11
207.91,0.1
208.127,0.15
208.343,0.16
208.56,0.14
208.777,0.12
208.994,0.12
209.21,0.12
209.427,0.11
209.644,0.12
209.861,0.12
210.077,0.13
210.294,0.13
210.511,0.13
210.727,0.15
210.944,0.18
211.161,0.2
211.377,0.16
211.594,0.16
211.81,0.18
212.027,0.17
212.244,0.16
212.46,0.19
212.677,0.23
212.893,0.15
213.11,0.16
213.326,0.13
213.543,0.12
213.759,0.12
213.976,0.15
214.192,0.14
214.409,0.19
214.625,0.21
214.842,0.19
215.058,0.18
215.275,0.15
215.491,0.13
215.707,0.1
215.924,0.11
216.14,0.12
216.357,0.14
216.573,0.14
216.789,0.15
217.006,0.15
217.222,0.11
217.438,0.11
217.655,0.09
217.871,0.09
218.087,0.08
218.304,0.13
218.52,0.09
218.736,0.14
218.952,0.15
219.169,0.17
219.385,0.17
219.601,0.22
219.817,0.17
220.033,0.16
220.25,0.16
220.466,0.16
220.682,0.16
220.898,0.14
221.114,0.14
221.33,0.13
221.546,0.13
221.763,0.13
221.979,0.18
222.195,0.17
222.411,0.16
222.627,0.16
222.843,0.15
223.059,0.14
223.275,0.15
223.491,0.15
223.707,0.15
223.923,0.13
224.139,0.14
224.355,0.14
224.571,0.16
224.787,0.14
225.003,0.14
225.219,0.14
225.435,0.14
225.651,0.12
225.867,0.17
226.083,0.19
226.298,0.19
226.514,0.16
226.73,0.16
226.946,0.14
227.162,0.15
227.378,0.13
227.594,0.18
227.809,0.18
228.025,0.19
228.241,0.19
228.457,0.17
228.672,0.17
228.888,0.17
229.104,0.16
229.32,0.17
229.535,0.19
229.751,0.2
229.967,0.2
230.183,0.2
230.398,0.17
230.614,0.17
230.83,0.12
231.045,0.14
231.261,0.14
231.476,0.16
231.692,0.16
231.908,0.16
232.123,0.18
232.339,0.16
232.554,0.16
232.77,0.15
232.986,0.18
233.201,0.17
233.417,0.21
233.632,0.22
233.848,0.23
234.063,0.21
234.279,0.21
234.494,0.2
234.71,0.18
234.925,0.18
235.14,0.18
235.356,0.2
235.571,0.17
235.787,0.22
236.002,0.25
236.217,0.25
236.433,0.23
236.648,0.25
236.864,0.2
237.079,0.2
237.294,0.2
237.51,0.2
237.725,0.2
237.94,0.22
238.155,0.2
238.371,0.2
238.586,0.21
238.801,0.2
239.016,0.19
239.232,0.18
239.447,0.18
239.662,0.2
239.877,0.23
240.093,0.22
240.308,0.22
240.523,0.24
240.738,0.24
240.953,0.26
241.168,0.24
241.383,0.24
241.599,0.25
241.814,0.22
242.029,0.22
242.244,0.25
242.459,0.26
242.674,0.25
242.889,0.25
243.104,0.23
243.319,0.21
243.534,0.2
243.749,0.21
243.964,0.21
244.179,0.24
244.394,0.29
244.609,0.32
244.824,0.29
245.039,0.27
245.254,0.26
245.469,0.23
245.684,0.22
245.899,0.23
246.113,0.26
246.328,0.26
246.543,0.26
246.758,0.26
246.973,0.26
247.188,0.24
247.402,0.23
247.617,0.26
247.832,0.25
248.047,0.24
248.262,0.25
248.476,0.27
248.691,0.26
248.906,0.27
249.121,0.28
249.335,0.32
249.55,0.33
249.765,0.35
249.979,0.38
250.194,0.39
250.409,0.41
250.623,0.44
250.838,0.44
251.053,0.48
251.267,0.56
251.482,0.59
251.697,0.67
251.911,0.77
252.126,0.85
252.34,0.91
252.555,0.94
252.769,0.97
252.984,0.99
253.198,01.02
253.413,1.7
253.627,1.15
253.842,1.17
254.056,1.24
254.271,1.26
254.485,1.3
254.7,1.3
254.914,1.34
255.129,1.38
255.343,1.44
255.557,1.47
255.772,1.52
255.986,1.54
256.201,1.54
256.415,1.54
256.629,1.54
256.844,1.53
257.058,1.54
257.272,1.55
257.486,1.55
257.701,1.54
257.915,1.56
258.129,1.53
258.344,1.53
258.558,1.55
258.772,1.55
258.986,1.55
259.2,1.56
259.415,1.57
259.629,1.56
259.843,1.55
260.057,1.55
260.271,1.54
260.485,1.53
260.7,1.53
260.914,1.52
261.128,1.51
261.342,1.5
261.556,1.5
261.77,1.48
261.984,1.47
262.198,1.47
262.412,1.46
262.626,1.45
262.84,1.46
263.054,1.46
263.268,1.44
263.482,1.44
263.696,1.44
263.91,1.42
264.124,1.41
264.338,1.39
264.552,1.38
264.766,1.37
264.98,1.37
265.194,1.37
265.408,1.37
265.622,1.36
265.835,1.36
266.049,1.35
266.263,1.34
266.477,1.34
266.691,1.33
266.905,1.32
267.118,1.32
267.332,1.31
267.546,1.31
267.76,1.31
267.973,1.3
268.187,1.3
268.401,1.3
268.615,1.29
268.828,1.29
269.042,1.28
269.256,1.28
269.469,1.28
269.683,1.27
269.897,1.27
270.11,1.26
270.324,1.26
270.538,1.25
270.751,1.25
270.965,1.25
271.178,1.24
271.392,1.24
271.606,1.24
271.819,1.23
272.033,1.23
272.246,1.22
272.46,1.22
272.673,1.21
272.887,1.21
273.1,1.21
273.314,01.02
273.527,01.02
273.741,1.19
273.954,1.19
274.167,1.18
274.381,1.18
274.594,1.18
274.808,1.17
275.021,1.17
275.234,1.16
275.448,1.16
275.661,1.16
275.874,1.15
276.088,1.15
276.301,1.14
276.514,1.14
276.728,1.14
276.941,1.13
277.154,1.13
277.367,1.12
277.581,1.12
277.794,1.11
278.007,1.1
278.22,1.1
278.434,01.09
278.647,01.09
278.86,01.08
279.073,01.08
279.286,01.07
279.499,01.07
279.713,01.06
279.926,01.06
280.139,01.05
280.352,01.05
280.565,01.04
280.778,01.03
280.991,01.03
281.204,01.02
281.417,01.01
281.63,01.01
281.843,1
282.056,1
