Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1
177.674,-0.05,177.674,0.66,177.674,0.19
177.893,-0.12,177.893,0.49,177.893,0.02
178.111,-0.13,178.111,0.46,178.111,0.03
178.329,-0.17,178.329,0.92,178.329,-0.03
178.547,-0.29,178.547,0.47,178.547,-0.2
178.766,-0.12,178.766,0.0,178.766,-0.34
178.984,0.06,178.984,0.09,178.984,1.67
179.202,-0.72,179.202,-0.2,179.202,-0.71
179.42,0.72,179.42,0.04,179.42,0.0
179.638,0.4,179.638,0.28,179.638,0.44
179.856,-0.01,179.856,0.1,179.856,0.0
180.075,0.11,180.075,0.58,180.075,0.64
180.293,0.06,180.293,0.85,180.293,0.45
180.511,-0.42,180.511,0.11,180.511,-0.07
180.729,0.0,180.729,0.42,180.729,1.14
180.947,0.08,180.947,0.47,180.947,0.26
181.165,0.08,181.165,0.19,181.165,0.15
181.38299999999998,0.1,181.38299999999998,0.19,181.38299999999998,0.05
181.601,0.05,181.601,0.09,181.601,0.02
181.81900000000002,0.04,181.81900000000002,0.05,181.81900000000002,-0.04
182.037,0.06,182.037,0.07,182.037,0.02
182.255,0.08,182.255,0.06,182.255,0.0
182.47299999999998,0.1,182.47299999999998,0.06,182.47299999999998,0.02
182.69099999999997,0.08,182.69099999999997,0.04,182.69099999999997,0.0
182.90900000000002,0.1,182.90900000000002,0.04,182.90900000000002,0.03
183.127,0.12,183.127,0.03,183.127,0.05
183.345,0.1,183.345,-0.03,183.345,-0.01
183.563,0.07,183.563,-0.06,183.563,0.02
183.78099999999998,0.1,183.78099999999998,-0.03,183.78099999999998,0.06
183.99900000000002,0.11,183.99900000000002,-0.01,183.99900000000002,0.03
184.217,0.09,184.217,0.0,184.217,-0.02
184.435,0.09,184.435,0.07,184.435,0.04
184.653,0.13,184.653,0.14,184.653,0.05
184.87099999999998,0.12,184.87099999999998,0.12,184.87099999999998,0.03
185.08900000000003,0.11,185.08900000000003,0.08,185.08900000000003,0.05
185.30700000000002,0.15,185.30700000000002,0.07,185.30700000000002,0.07
185.525,0.16,185.525,0.07,185.525,0.11
185.74200000000002,0.15,185.74200000000002,0.04,185.74200000000002,0.12
185.96,0.15,185.96,0.01,185.96,0.14
186.178,0.15,186.178,0.01,186.178,0.15
186.396,0.08,186.396,0.01,186.396,0.15
186.614,0.04,186.614,0.01,186.614,0.11
186.832,0.02,186.832,0.01,186.832,0.06
187.049,0.03,187.049,0.04,187.049,0.01
187.267,0.01,187.267,0.03,187.267,0.0
187.485,0.03,187.485,0.02,187.485,-0.03
187.703,0.08,187.703,0.01,187.703,-0.04
187.921,0.09,187.921,0.03,187.921,0.03
188.138,0.09,188.138,-0.02,188.138,0.05
188.356,0.08,188.356,-0.02,188.356,0.05
188.574,0.1,188.574,0.03,188.574,0.07
