Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1,Absorbance:209,Unnamed: 1
177.674,-0.4,177.674,-0.29,177.674,-0.01
177.893,-0.37,177.893,-0.29,177.893,0.05
178.111,-0.36,178.111,-0.33,178.111,-0.02
178.329,-0.45,178.329,-0.34,178.329,-0.14
178.547,-1.93,178.547,-1.72,178.547,-1.39
178.766,0.0,178.766,0.0,178.766,1.24
178.984,0.0,178.984,0.0,178.984,0.73
179.202,0.0,179.202,0.08,179.202,0.18
179.42,0.0,179.42,0.0,179.42,-0.4
179.638,0.0,179.638,1.0,179.638,0.42
179.856,0.0,179.856,0.6,179.856,0.23
180.075,0.8,180.075,0.0,180.075,0.01
180.293,0.58,180.293,0.34,180.293,0.22
180.511,0.33,180.511,0.21,180.511,-0.15
180.729,0.0,180.729,0.0,180.729,0.0
180.947,0.0,180.947,0.0,180.947,0.0
181.165,0.03,181.165,0.21,181.165,-0.03
181.38299999999998,0.12,181.38299999999998,0.16,181.38299999999998,0.19
181.601,0.06,181.601,0.15,181.601,0.05
181.81900000000002,0.1,181.81900000000002,0.13,181.81900000000002,0.11
182.037,0.1,182.037,0.12,182.037,0.14
182.255,0.15,182.255,0.14,182.255,0.15
182.47299999999998,0.12,182.47299999999998,0.12,182.47299999999998,0.08
182.69099999999997,0.13,182.69099999999997,0.1,182.69099999999997,0.12
182.90900000000002,0.14,182.90900000000002,0.11,182.90900000000002,0.11
183.127,0.11,183.127,0.1,183.127,0.05
183.345,0.08,183.345,0.08,183.345,0.01
183.563,0.07,183.563,0.05,183.563,0.03
183.78099999999998,0.04,183.78099999999998,0.03,183.78099999999998,0.0
183.99900000000002,0.05,183.99900000000002,0.01,183.99900000000002,0.04
184.217,0.12,184.217,0.03,184.217,0.16
184.435,0.11,184.435,0.04,184.435,0.21
184.653,0.15,184.653,0.11,184.653,0.27
184.87099999999998,0.19,184.87099999999998,0.12,184.87099999999998,0.25
185.08900000000003,0.15,185.08900000000003,0.15,185.08900000000003,0.2
185.30700000000002,0.08,185.30700000000002,0.15,185.30700000000002,0.13
185.525,0.1,185.525,0.16,185.525,0.12
185.74200000000002,0.07,185.74200000000002,0.13,185.74200000000002,0.12
185.96,0.06,185.96,0.12,185.96,0.13
186.178,0.06,186.178,0.06,186.178,0.14
186.396,0.09,186.396,0.05,186.396,0.15
186.614,0.09,186.614,0.05,186.614,0.14
186.832,0.11,186.832,0.07,186.832,0.12
187.049,0.1,187.049,0.09,187.049,0.11
187.267,0.08,187.267,0.11,187.267,0.08
187.485,0.06,187.485,0.1,187.485,0.06
187.703,0.08,187.703,0.09,187.703,0.06
187.921,0.07,187.921,0.07,187.921,0.06
188.138,0.09,188.138,0.08,188.138,0.06
188.356,0.13,188.356,0.09,188.356,0.07
188.574,0.1,188.574,0.08,188.574,0.07
188.792,0.09,188.792,0.1,188.792,0.06
189.00900000000001,0.07,189.00900000000001,0.07,189.00900000000001,0.07
189.227,0.05,189.227,0.05,189.227,0.06
189.445,0.05,189.445,0.02,189.445,0.08
189.662,0.06,189.662,0.02,189.662,0.09
189.88,0.03,189.88,0.02,189.88,0.06
190.09799999999998,0.02,190.09799999999998,0.02,190.09799999999998,0.05
190.315,0.04,190.315,0.02,190.315,0.06
190.533,0.02,190.533,0.01,190.533,0.06
190.75099999999998,0.05,190.75099999999998,0.07,190.75099999999998,0.1
190.968,0.09,190.968,0.06,190.968,0.14
191.18599999999998,0.12,191.18599999999998,0.1,191.18599999999998,0.18
191.403,0.12,191.403,0.12,191.403,0.16
191.62099999999998,0.1,191.62099999999998,0.14,191.62099999999998,0.12
191.83900000000003,0.1,191.83900000000003,0.09,191.83900000000003,0.09
192.05599999999998,0.08,192.05599999999998,0.1,192.05599999999998,0.08
192.274,0.05,192.274,0.08,192.274,0.04
192.49099999999999,0.05,192.49099999999999,0.08,192.49099999999999,0.03
192.709,0.09,192.709,0.11,192.709,0.05
192.926,0.08,192.926,0.11,192.926,0.07
193.144,0.12,193.144,0.15,193.144,0.08
193.361,0.15,193.361,0.15,193.361,0.1
193.579,0.17,193.579,0.15,193.579,0.14
193.796,0.15,193.796,0.1,193.796,0.16
194.014,0.15,194.014,0.1,194.014,0.15
194.231,0.14,194.231,0.08,194.231,0.17
194.449,0.14,194.449,0.06,194.449,0.16
194.666,0.13,194.666,0.05,194.666,0.14
194.88299999999998,0.14,194.88299999999998,0.1,194.88299999999998,0.13
195.101,0.12,195.101,0.13,195.101,0.13
195.31799999999998,0.12,195.31799999999998,0.12,195.31799999999998,0.12
195.53599999999997,0.15,195.53599999999997,0.12,195.53599999999997,0.14
195.753,0.12,195.753,0.12,195.753,0.15
195.97,0.15,195.97,0.13,195.97,0.19
196.188,0.2,196.188,0.1,196.188,0.21
196.405,0.15,196.405,0.07,196.405,0.14
196.623,0.15,196.623,0.12,196.623,0.16
196.84,0.2,196.84,0.13,196.84,0.13
197.05700000000002,0.15,197.05700000000002,0.06,197.05700000000002,0.08
197.275,0.14,197.275,0.07,197.275,0.11
197.49200000000002,0.13,197.49200000000002,0.1,197.49200000000002,0.13
197.709,0.11,197.709,0.08,197.709,0.15
197.926,0.09,197.926,0.05,197.926,0.13
198.144,0.07,198.144,0.08,198.144,0.12
198.361,0.05,198.361,0.07,198.361,0.08
198.578,0.06,198.578,0.07,198.578,0.08
198.795,0.1,198.795,0.1,198.795,0.09
199.013,0.16,199.013,0.14,199.013,0.12
199.23,0.16,199.23,0.11,199.23,0.12
199.447,0.2,199.447,0.14,199.447,0.12
199.66400000000002,0.13,199.66400000000002,0.12,199.66400000000002,0.12
199.88099999999997,0.09,199.88099999999997,0.08,199.88099999999997,0.07
200.09900000000002,0.02,200.09900000000002,0.05,200.09900000000002,0.04
200.31599999999997,0.04,200.31599999999997,0.06,200.31599999999997,0.08
200.533,0.02,200.533,0.05,200.533,0.09
200.75,0.09,200.75,0.05,200.75,0.06
200.967,0.11,200.967,0.06,200.967,0.08
201.18400000000003,0.13,201.18400000000003,0.08,201.18400000000003,0.11
201.40099999999998,0.11,201.40099999999998,0.1,201.40099999999998,0.06
201.61900000000003,0.12,201.61900000000003,0.11,201.61900000000003,0.08
201.83599999999998,0.16,201.83599999999998,0.14,201.83599999999998,0.11
202.053,0.16,202.053,0.1,202.053,0.09
202.27,0.13,202.27,0.05,202.27,0.07
202.487,0.11,202.487,0.03,202.487,0.08
202.704,0.09,202.704,0.0,202.704,0.07
202.921,0.06,202.921,-0.01,202.921,0.09
203.138,0.04,203.138,0.02,203.138,0.1
203.355,0.07,203.355,0.07,203.355,0.12
203.572,0.07,203.572,0.08,203.572,0.13
203.78900000000002,0.08,203.78900000000002,0.12,203.78900000000002,0.16
204.00599999999997,0.07,204.00599999999997,0.12,204.00599999999997,0.18
204.22299999999998,0.06,204.22299999999998,0.15,204.22299999999998,0.18
204.44,0.06,204.44,0.13,204.44,0.2
204.657,0.09,204.657,0.11,204.657,0.21
204.87400000000002,0.11,204.87400000000002,0.1,204.87400000000002,0.2
205.09099999999998,0.11,205.09099999999998,0.09,205.09099999999998,0.18
